Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZSX,"Services excluding transport, postal, and warehousing",2015Q2,620,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q3,661,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q4,617,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q1,579,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q2,635,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q3,683,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q4,619,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q1,591,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q2,652,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q3,671,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q4,635,Actual,Kilotonnes,Carbon dioxide equivalents,P
