Species,Abund,SciName,Taxa1,Taxa2,Taxa3,BM,"Birthing (1=hider, 2=follower)",Group,Threat,Temp,Rain,D,Prey,PreyOffset,PreyEst,logD,logAb,logPrey,Deer,WRSU,BioregionNo,Bioregion,Site,Site#,State,Coywolf,Period,Years,Duration,Country,Method,N,PopDens,HR,CoyoteBM,Wolf,Puma,Carnivores,Latitude,Longitude,Study,NA
Berries,NA,NA,Fruit,NA,Vegetation,NA,NA,NA,NA,20.5,1338,NA,0.297297297,297,0,NA,NA,0.145288819,Deer,Suburban,8.5.3,ETempForest,Brooker Creek Preserve,NA,Florida,0,Annual,2005-2007,3,USA,Scats,71,NA,NA,NA,0,0,2,28.144,-82.661,Grigione et al. 2011,NA
NA,NA,NA,NA,Rodents,Mammals,0.2,NA,1,0,10,1180,NA,0.297468354,297,0,NA,NA,0.113096774,Deer,Rural,8.4.2,ETempForest,Randolph County,368,West Virginia,1,Winter,2006-2008,1.5,USA,Scats,42,NA,NA,NA,0,0,3,38.809,-80.0087,Crimmins et al 2012,NA
"Rabbit, eastern cottontail",0.147783251,Sylvilagus floridanus,Rabbit,Lagomorphs,Mammals,1.1728,NA,1,0,10.5,1055,0.419695193,0.29787234,298,7,0.152195112,0.059859883,0.113231977,Deer,Rural,NA,ETempForest,NA,8,Illinois,0,Summer,1994-1995,2,USA,Scats & Stomach,NA,NA,NA,NA,0,0,NA,40.633,-89.399,Randa et al 2009,NA
NA,NA,NA,NA,NA,Vegetation,NA,NA,NA,NA,20.5,1338,NA,0.298136646,298,0,NA,NA,0.145549619,Deer,Wilderness,8.5.3,ETempForest,Brooker Creek Preserve,NA,Florida,0,Annual,2005-2007,3,USA,Scats,49,NA,NA,NA,0,0,2,28.1558,-82.662,Grigione et al. 2011,NA
Persimmon,NA,Diospyros virginiana,Fruit,NA,Vegetation,0.01,NA,NA,0,10.5,1055,-0.151287943,0.298969072,299,7,-0.071239628,NA,0.113598811,Deer,Rural,NA,ETempForest,NA,4,Illinois,0,Summer,1993-1994,2,USA,Scats & Stomach,NA,NA,NA,NA,0,0,NA,40.633,-89.399,Randa et al 2009,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,0,450,NA,0.299065421,299,NA,NA,NA,0.113631023,No deer,Rural,5.4.1,NthForests,Rocherster,120,Alberta,0,Winter,1974-1975,0.25,Canada,Scats,37,7.8,NA,NA,1,0,5,54.422686,-112.652442,Todd et al. 1981,NA
"Deer, white-tailed",NA,Odocoileus virginianus,Deer,Ungulates,Mammals,55.5086,1,3,2,4.5,1200,NA,0.299212598,299,0,NA,NA,0.113680223,No deer,Rural,5.3.1,NthForests,Steuben,11,New York,1,Summer,2007,0.5,USA,Scats,89,NA,NA,NA,0,0,9,42.277,-77.093,Boser 2009,NA
Elk,NA,Cervus elaphus,Deer,Ungulates,Mammals,131.25,1,3,2,3.5,588,NA,0.299465241,299,0,NA,NA,0.113764667,Deer,Rural,6.2.14,NWForMtn,Valles Caldera National Preserve,269,New Mexico,0,Summer,2006,0.25,USA,Scats,105,67,10.6,NA,0,1,NA,35.838,-106.472,Gifford et al. 2020,NA
Moose,NA,Alces alces,NA,Ungulates,Mammals,356.998,1,3,2,2.5,2300,NA,0.29970699,300,3,NA,NA,0.113845455,No deer,Rural,7.1.3,MarineWCForest,Kenai Peninsula,99,Alaska,0,Summer,1989,0.416666667,USA,Scats,67,NA,NA,NA,1,0,8,60.16666667,-150.25,Staples 1995,NA
"Hare, showshoe",0.051094891,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,3.5,650,0.776765376,0.3,300,3,0.249630082,0.021641925,0.113943352,No deer,Wilderness,6.1.5,NWForMtn,Kluane Boreal Forest Research Project,72,Yukon,0,Winter,1987,0.25,Canada,Scats,102,2.5,NA,NA,1,0,7,60.95,-138.2,"O'Donoghue et al 1998a,b",NA
"Beaver, American",NA,Castor canadensis,NA,Rodents,Mammals,21.82,NA,1,1,NA,NA,NA,0.3,300,0,NA,NA,0.113943352,No deer,Rural,NA,NA,NA,9,West Virginia,1,Annual,2009-2011,3,USA,Scats,693,NA,NA,NA,0,0,6,39.24345,-78.7327,Albers 2012,NA
Muskrat,0.956587795,Ondatra zibethicus,NA,Rodents,Mammals,1.0657,NA,1,0,8,825,-0.961789433,0.3003003,300,3,-1.417816518,0.29149934,0.114043663,No deer,Rural,8.1.2,ETempForest,Long Point,103,Ontario,1,Winter,1984-1985,0.25,Canada,Scats,60,16.4,NA,NA,0,0,3,42.5625,-80.228426,Todd 1987,NA
NA,NA,NA,NA,Ungulates,Mammals,NA,NA,NA,NA,5,1824,NA,0.300699301,301,0,NA,NA,0.114176907,Deer,Rural,6.2.7,NWForMtn,Willamette National Forest,657,Oregon,0,Fall,1982-1984,0.75,USA,Scats,128,NA,30.3,NA,0,1,5,44.25,-122.001,Toweill  and Anthony 1988; Toweill 1986,NA
