cnt,uniqID,x,y,cur_b1,cur_b2,cur_b3,r45y50_b1,r45y50_b2,r45y50_b3,r85y50_b1,r85y50_b2,r85y50_b3,r45y70_b1,r45y70_b2,r45y70_b3,r85y70_b1,r85y70_b2,r85y70_b3
4962,Q646,20.37501061,-30.37493255,0.01672296,0.123085424,-0.008954578,-0.03617439,-0.20287928,0.041259687,-0.030371994,-0.205394194,0.00948686,-0.008909307,-0.216166377,0.004265998,-0.042230655,-0.233455494,0.000208024
4963,Q647,20.62501061,-30.37493255,-0.006026834,0.128198028,-0.026144711,-0.065787286,-0.232917905,0.039825279,-0.068027869,-0.237631842,0.008252605,-0.034377046,-0.238687754,0.003077917,-0.071923085,-0.24619475,-0.000619322
4964,Q648,20.87501061,-30.37493255,0.013165181,0.12909922,-0.030356368,-0.065474555,-0.239789173,0.037586808,-0.071731061,-0.250526726,0.00709487,-0.036988929,-0.252828598,0.001655288,-0.073487215,-0.250319749,-0.001463891
4965,Q649,21.12501061,-30.37493255,-0.006190728,0.128147408,-0.029135171,-0.103758216,-0.24364844,0.041339815,-0.111907601,-0.253125548,0.007347504,-0.073763318,-0.25885883,0.001794511,-0.108813487,-0.240115181,-0.000549036
4966,Q650,21.37501061,-30.37493255,-0.007614983,0.136281446,-0.056065615,-0.118936114,-0.246634543,0.041759998,-0.130983531,-0.252631128,0.007110924,-0.094738953,-0.261494935,0.001432084,-0.133469298,-0.245753929,-0.001096467
4967,Q651,21.62501061,-30.37493255,-0.008175113,0.14165853,-0.074174732,-0.138257951,-0.254932702,0.042777378,-0.147148818,-0.256955326,0.006772516,-0.112929761,-0.270695895,0.00074676,-0.152234912,-0.252879798,-0.001771444
4968,Q652,21.87501061,-30.37493255,-0.019821512,0.139286041,-0.068735838,-0.158770382,-0.257267028,0.04427373,-0.174928129,-0.26888299,0.006336468,-0.132320926,-0.273998499,0.000484081,-0.171623453,-0.253988922,-0.002000711
4969,Q653,22.12501061,-30.37493255,-0.00460354,0.138543293,-0.068043306,-0.114801846,-0.237016201,0.038058791,-0.128491491,-0.249873891,0.005032939,-0.089169577,-0.252533406,-0.000353229,-0.129584581,-0.237282574,-0.002510874
4970,Q654,22.37501061,-30.37493255,0.041045398,0.13229616,-0.05044831,-0.050878484,-0.22176145,0.028397761,-0.062189206,-0.218494505,0.003834846,-0.030150097,-0.233644679,-0.001807233,-0.06799411,-0.225660726,-0.003917053
4971,Q655,22.62501061,-30.37493255,0.094258718,0.128612444,-0.04020977,0.042167004,-0.215193763,0.012749902,0.031544536,-0.216553733,0.000332209,0.059599642,-0.221479997,-0.004608521,0.017792244,-0.21474497,-0.005839176
4972,Q656,22.87501061,-30.37493255,0.064526938,0.140594572,-0.078881048,0.009014608,-0.210509375,0.017645223,-0.002067968,-0.208971947,0.001234788,0.019515531,-0.218216643,-0.003661353,-0.016266322,-0.208840966,-0.005061232
4973,Q657,23.12501061,-30.37493255,0.043759,0.145064533,-0.094225295,-0.019437529,-0.185489833,0.025412271,-0.031769466,-0.182461262,0.002829731,-0.003159865,-0.190120056,-0.00179657,-0.041223459,-0.17852205,-0.003083176
4974,Q658,23.37501061,-30.37493255,0.053548358,0.143942446,-0.092447244,-0.020398708,-0.178916574,0.025031289,-0.030422578,-0.176410466,0.002427453,-0.004559114,-0.184001029,-0.001999967,-0.038155589,-0.166470647,-0.002898715
4975,Q659,23.62501061,-30.37493255,0.061650902,0.136300981,-0.071206294,0.016651209,-0.181845024,0.016267285,0.000305207,-0.179004759,0.000492169,0.027984025,-0.183875903,-0.003743999,-0.006427289,-0.169346064,-0.004550294
4976,Q660,23.87501061,-30.37493255,0.079637222,0.12523298,-0.039908912,0.060542531,-0.190050021,0.006388761,0.046312582,-0.204876781,-0.002972323,0.072899207,-0.203518942,-0.007185935,0.041252896,-0.179957747,-0.007078587
4977,Q661,24.12501061,-30.37493255,0.110019453,0.130866632,-0.059082627,0.099580929,-0.257279426,-0.011648485,0.089413263,-0.268070936,-0.008451856,0.114977241,-0.265382141,-0.013448348,0.086370505,-0.250984043,-0.013956728
4978,Q662,24.37501061,-30.37493255,0.152934119,0.128304601,-0.053068239,0.126501068,-0.377787143,-0.035794616,0.111004837,-0.391202658,-0.017224979,0.155063435,-0.360598594,-0.022495938,0.116668835,-0.334434479,-0.02236489
4979,Q663,24.62501061,-30.37493255,0.117292203,0.133872703,-0.071846277,0.096111305,-0.400957555,-0.035209794,0.075308226,-0.426647246,-0.017935162,0.123242557,-0.392871439,-0.023753207,0.087170511,-0.355025649,-0.022900395
4980,Q664,24.87501061,-30.37493255,0.139815733,0.132055178,-0.070592783,0.114263073,-0.320816725,-0.02831519,0.101255007,-0.323903769,-0.015168814,0.135102123,-0.316423625,-0.020505065,0.108284734,-0.276049316,-0.019086927
4981,Q665,25.12501061,-30.37493255,0.141259983,-0.187565297,-0.10803967,0.094508231,-0.203322157,-0.01074974,0.080785342,-0.220013723,-0.010672025,0.103569433,-0.217106849,-0.014157404,0.084434904,-0.179109827,-0.013121068
4982,Q666,25.37501061,-30.37493255,0.140915349,0.110834867,-0.008751131,0.127805054,-0.107428133,-0.003055587,0.121922381,-0.121816903,-0.006165103,0.131019071,-0.118310764,-0.007956822,0.123942927,-0.089868777,-0.007404165
4983,Q667,25.62501061,-30.37493255,0.170979545,0.10656251,0.001476886,0.158948421,-0.087545738,-0.007423303,0.156730175,-0.096313968,-0.00730036,0.164310545,-0.091580115,-0.008396205,0.159667864,-0.070669018,-0.008325285
4984,Q668,25.87501061,-30.37493255,0.158962786,0.106376342,0.000718466,0.148688465,-0.085658513,-0.006318091,0.14621307,-0.094283603,-0.007144264,0.152764335,-0.090367526,-0.008327153,0.151862279,-0.064824566,-0.007919122
4985,Q669,26.12501061,-30.37493255,0.146250084,-0.183768183,-0.126099721,0.117477931,-0.075269952,-0.020955859,0.113487877,-0.084835857,-0.016847827,0.118424147,-0.082964294,-0.018590868,0.114123754,-0.046385664,-0.016676597
4986,Q670,26.37501061,-30.37493255,0.174733102,-0.2071134,-0.059725609,0.159592316,-0.090027854,-0.018043272,0.157994643,-0.095284127,-0.011971801,0.162965715,-0.094962984,-0.01350128,0.165179566,-0.055874296,-0.011695812
4987,Q671,26.62501061,-30.37493255,0.172981322,-0.208577499,-0.060622882,0.164697021,-0.082240134,-0.016888384,0.164771914,-0.080955878,-0.011150192,0.16837883,-0.080699727,-0.012349633,0.170986816,-0.046115629,-0.010859899
